类型,名称,出处,片段
关系,坏死性筋膜炎 | 导致 | 严重并发症,paper_615_39867946,"位置: Discussion / chunk 6 / pages 10-15 | 证据: NF, a severe infectious disease, may cause a series of serious complications, such as muscle necrosis, amputation, or even death."
关系,深筋膜 | 具有 | 免疫功能,paper_615_39867946,位置: Discussion / chunk 6 / pages 10-15 | 证据: Our recent study has demonstrated the immunologic function of deep fascia.
关系,"坏死性筋膜炎组 | 增加 | SPP1+ Mac0, IL1B+ Mac1, SPP1+ M2巨噬细胞比例",paper_615_39867946,"位置: Discussion / chunk 8 / pages 10-15 | 证据: we found SPP1+ Mac0, IL1B+ Mac1, and SPP1+ M2 with increased proportions during the process of NF."
关系,坏死性筋膜炎 | 减少 | 成纤维细胞总比例,paper_615_39867946,位置: Discussion / chunk 7 / pages 10-15 | 证据: We found dramatically decreased proportions of fibroblast of deep fascia in response to infection.
关系,坏死性筋膜炎组 | 增加 | 抗原呈递成纤维细胞、间充质成纤维细胞、肌成纤维细胞比例,paper_615_39867946,"位置: Discussion / chunk 7 / pages 10-15 | 证据: we found the percentage of three subtypes increased, including antigen-presenting Fib, mesenchymal Fib, and myoFib."
关系,坏死性筋膜炎组 | 上调 | SAA1表达,paper_615_39867946,位置: Discussion / chunk 7 / pages 10-15 | 证据: the level of SAA1 was up-regulated in NG compared with CG.
关系,抗原呈递成纤维细胞 | 负责 | 体液免疫,paper_615_39867946,"位置: Discussion / chunk 7 / pages 10-15 | 证据: In terms of antigen-presenting Fib, it was mainly responsible for the humoral immunity against the bacteria that results in NF."
关系,间充质成纤维细胞 | 决定 | 预后结果,paper_615_39867946,位置: Discussion / chunk 8 / pages 10-15 | 证据: mesenchymal Fib may play a determinant role in the prognostic outcome of NF.
关系,肌成纤维细胞 | 表达 | 纤维状胶原基因,paper_615_39867946,"位置: Discussion / chunk 8 / pages 10-15 | 证据: MyoFib highly expressed SPARC and fibrillar collagen genes, including COL1A1, COL3A1, COL4A2, and COL4A1."
关系,M1/M2比例 | 是 | 预后决定因素/治疗靶点,paper_615_39867946,"位置: Discussion / chunk 8 / pages 10-15 | 证据: the ratio of M1/M2 may be a key factor to determine the prognostic outcome or even a therapeutic target in some diseases, such as infectious disease."
概念,Enterobacter cloacae complex (ECC),paper_897_39867289,"位置: 前言 / chunk 0 / page 2 | 证据: The Enterobacter cloacae complex (ECC), a member of the Enterobacter genus, is widely found in nature."
概念,multidrug resistance (MDR),paper_897_39867289,位置: 前言 / chunk 0 / page 2 | 证据: A major concern with ECC is its propensity to develop multidrug resistance (MDR)
概念,carbapenems,paper_897_39867289,位置: Discussion / chunk 6 / pages 7-12 | 证据: carbapenems and amikacin were the most effective antimicrobial agents against ECC
概念,amikacin,paper_897_39867289,位置: Discussion / chunk 6 / pages 7-12 | 证据: carbapenems and amikacin were the most effective antimicrobial agents against ECC
概念,ceftriaxone resistance,paper_897_39867289,位置: Discussion / chunk 4 / pages 7-12 | 证据: The resistance rates to ceftazidime and ceftriaxone in our study were obviously higher
概念,ceftazidime resistance,paper_897_39867289,位置: Discussion / chunk 4 / pages 7-12 | 证据: The resistance rates to ceftazidime and ceftriaxone in our study were obviously higher
概念,MDR ECC prevalence,paper_897_39867289,位置: Discussion / chunk 4 / pages 7-12 | 证据: MDR ECC accounted for 30.9% (58/188)
概念,polymicrobial bacteremia,paper_897_39867289,位置: Discussion / chunk 4 / pages 7-12 | 证据: ICU admission is an independent risk factor for polymicrobial bacteremia
概念,biliary tract infection,paper_897_39867289,位置: Discussion / chunk 8 / pages 7-12 | 证据: biliary tract infections and nosocomial ECC bacteremia
关系,Previous antibiotic therapy | increases_risk_of | MDR ECC,paper_897_39867289,"位置: Discussion / chunk 4 / pages 7-12 | 证据: Previous antibiotic therapy increases the risk of MDR ECC (OR = 3.193, P < 0.020)"
关系,Appropriate antibiotic therapy | reduces_risk_of | MDR ECC,paper_897_39867289,位置: Discussion / chunk 4 / pages 7-12 | 证据: appropriate antibiotic therapy had a protective effect (OR = 0.279) on MDR ECC
关系,ICU admission | independent_risk_factor_for | polymicrobial bacteremia,paper_897_39867289,位置: Discussion / chunk 4 / pages 7-12 | 证据: ICU admission is an independent risk factor for polymicrobial bacteremia
关系,MDR ECC | associated_with | prolonged hospitalization and worse outcome,paper_897_39867289,位置: Discussion / chunk 8 / pages 7-12 | 证据: MDR ECC is closely associated with prolonging hospitalization duration and worsening clinical outcome.
关系,Carbapenem use | associated_with | improved clinical outcome in BSI,paper_897_39867289,位置: Discussion / chunk 8 / pages 7-12 | 证据: initial therapy with a carbapenem appears to be associated with improved clinical outcome in BSI
关系,Biliary tract infection | risk_factor_for | nosocomial ECC bacteremia,paper_897_39867289,位置: Discussion / chunk 8 / pages 7-12 | 证据: biliary tract infections and nosocomial ECC bacteremia
关系,Nosocomial infection | independent_risk_factor_for | mortality,paper_897_39867289,位置: Discussion / chunk 8 / pages 7-12 | 证据: Nosocomial infection has been independently associated with mortality of Enterobacter bacteremia.
关系,Endoscopy | risk_factor_for | mortality,paper_897_39867289,位置: Discussion / chunk 8 / pages 7-12 | 证据: endoscopy and blood transfusion are associated with significant risks due to their invasive nature
关系,Blood transfusion | risk_factor_for | mortality,paper_897_39867289,位置: Discussion / chunk 8 / pages 7-12 | 证据: endoscopy and blood transfusion are associated with significant risks due to their invasive nature
关系,Male elderly patients | more_susceptible_to | ECC bacteremia,paper_897_39867289,位置: Discussion / chunk 6 / pages 7-12 | 证据: male elderly patients are more susceptible to ECC bacteremia
概念,TiO2 nanoparticles,paper_572_39902067,位置: Introduction / chunk 0 | 证据: Titanium dioxide (TiO2) nanoparticles (NPs) are among the most widely produced nanoparticles.
概念,monocytes,paper_572_39902067,位置: Introduction / chunk 0 | 证据: This study focuses on titanium dioxide (TiO2) as an example of relatively low cytotoxic nanoparticles and aims to evaluate their possible modulatory effects on the inflammasome-based response in human primary monocytes.
概念,NLRP3 inflammasome,paper_572_39902067,位置: Introduction / chunk 0 | 证据: The immunomodulatory effect on NLRP3 depended on the type of costimulant used.
概念,IL-1β,paper_572_39902067,"位置: Introduction / chunk 0 | 证据: The production of IL-1β and IL-10 was evaluated after (a) simultaneous activation of monocytes with bacterial stimuli muramyl dipeptide (MDP), or lipopolysaccharide (LPS), and TiO2 (co-exposure model)."
概念,IL-10,paper_572_39902067,"位置: Introduction / chunk 0 | 证据: The production of IL-1β and IL-10 was evaluated after (a) simultaneous activation of monocytes with bacterial stimuli muramyl dipeptide (MDP), or lipopolysaccharide (LPS), and TiO2 (co-exposure model)."
关系,TiO2 nanoparticles | promotes | monocyte survival and differentiation,paper_572_39902067,位置: Introduction / chunk 0 | 证据: TiO2 promoted monocyte survival and differentiation into macrophages.
关系,TiO2 nanoparticles | does_not_induce | proinflammatory cytokines,paper_572_39902067,"位置: Introduction / chunk 0 | 证据: Nanoparticles alone did not induce substantial production of inflammatory cytokines IL-1β, IL-6, or TNF-α."
关系,co-exposure to MDP and TiO2 | boosts | NLRP3 activity,paper_572_39902067,位置: Introduction / chunk 0 | 证据: While co-exposure of monocytes to MDP and TiO2 boosted NLRP3 activity.
关系,co-exposure to LPS and TiO2 | inhibits | NLRP3,paper_572_39902067,位置: Introduction / chunk 0 | 证据: co-exposure to LPS and TiO2 inhibited NLRP3 by enhancing IL-10 release.
概念,MDP (muramyl dipeptide),paper_572_39902067,位置: Discussion / chunk 11 | 证据: co-exposure of monocytes to TiO2 and MDP significantly amplified IL-1β production compared to MDP alone.
概念,LPS (lipopolysaccharide),paper_572_39902067,位置: Discussion / chunk 12 | 证据: TiO2 enhanced the LPS-based release of IL-10.
关系,TiO2 nanoparticles | enhances | IL-10 release,paper_572_39902067,位置: Discussion / chunk 12 | 证据: TiO2 enhanced the LPS-based release of IL-10.
概念,NF-κB,paper_572_39902067,"位置: Discussion / chunk 11 | 证据: The first essential step is priming, which leads to the activation of the transcription factor NF-κB."
概念,CREB,paper_572_39902067,位置: Conclusion / chunk 13 | 证据: suggests the participation of several molecular pathways based on the crosstalk between the transcriptional factors NF-κB and CREB.
关系,TiO2 nanoparticles | induces | oxidative stress,paper_572_39902067,位置: Discussion / chunk 11 | 证据: TiO2 P25 nanoparticles have been confirmed to cause diverse types of oxidative stress.
关系,TiO2 nanoparticles | shifts_differentiation_towards | M2 macrophages,paper_572_39902067,"位置: Discussion / chunk 10 | 证据: TiO2-treated monocytes differentiated into heterogeneous macrophages with high CD14 expression, indicating a shift towards M2 subset."
关系,TiO2 nanoparticles | no_significant_cytotoxicity,paper_572_39902067,"位置: Discussion / chunk 10 | 证据: Moreover, no significant cytotoxicity was observed."
关系,TiO2 nanoparticles | modulates | inflammasome_response,paper_572_39902067,位置: Conclusion / chunk 13 | 证据: Our study confirmed that TiO2 P25 had a non-negligible modulatory effect on primary monocytes in their inflammasome-based responses.
概念,COVID-19,paper_146_39861829,位置: 前言 / chunk 0 / page 2 | 证据: Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) is the cause of the coronavirus disease 2019 (COVID-19)
概念,SARS-CoV-2,paper_146_39861829,位置: 前言 / chunk 0 / page 2 | 证据: Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) is the cause of the coronavirus disease 2019 (COVID-19)
概念,hepatitis B virus (HBV),paper_146_39861829,位置: 前言 / chunk 0 / page 2 | 证据: concomitant infection of hepatitis B virus (HBV) and severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)
概念,HBV reactivation,paper_146_39861829,位置: 前言 / chunk 0 / page 2 | 证据: The aim of this study was to evaluate the incidence and predictive factors of HBV reactivation
概念,corticosteroids,paper_146_39861829,位置: 前言 / chunk 0 / page 2 | 证据: higher doses of corticosteroids treatment were associated with HBV reactivation
概念,anti-HBs-positive serological status,paper_146_39861829,位置: 前言 / chunk 0 / page 2 | 证据: anti-HBs-positive serological status as a protective factor
概念,liver function abnormalities,paper_146_39861829,位置: 前言 / chunk 0 / page 2 | 证据: liver function abnormalities are frequently observed during the acute phase of viral illness
概念,cytokine storm,paper_146_39861829,位置: 前言 / chunk 0 / page 2 | 证据: systemic inflammation due to the “cytokine storm”
概念,superinfection,paper_146_39861829,位置: Discussion / chunk 5 / pages 7-9 | 证据: a superinfection is an infection following a previous infection
概念,coinfection,paper_146_39861829,位置: Discussion / chunk 5 / pages 7-9 | 证据: a coinfection is an infection concomitant with the initial infection
概念,immunosuppression,paper_146_39861829,"位置: Discussion / chunk 5 / pages 7-9 | 证据: superinfections have been demonstrated to trigger latent virus reactivations through different types of stimuli, including immunosuppression"
